saddle_gamma,saddle_proj,flow_i1_gamma,flow_i1_proj,flow_i2_gamma,flow_i2_proj,flow_1_gamma,flow_1_proj,flow_2_gamma,flow_2_proj,flow_sgd1_gamma,flow_sgd1_proj,flow_sgd2_gamma,flow_sgd2_proj,flow_adam1_gamma,flow_adam1_proj,flow_adam2_gamma,flow_adam2_proj
0.6473804915344115,-1.0054457266761574e-13,75.6086208817353,-0.7217841830958394,94.51332087651929,2.2913493405432357,132.20470509110532,-0.6923169269351384,172.4718650611094,2.27733640735614,4.09433507973365,-0.8589199912975541,19.105037191752043,2.4188919226921564,6.977915171996996,-0.778497684938356,18.070190564252854,2.4309644480078423
0.6473804928321348,-1.1877998584708394e-13,80.17702793713752,-0.7213233799117016,100.16817473780713,2.2897128223438665,140.7564865401652,-0.692050595294532,183.63539907137553,2.276399867429964,4.091885656222229,-0.845656075868671,19.170102491280275,2.420554420559916,6.979649811583854,-0.7776593641266554,18.143847099195632,2.4296779942977507
0.6473804947675379,-1.099571822482659e-13,85.02181472821755,-0.7208896741156265,106.1627409503146,2.2881739040913853,149.86165385034178,-0.6918007160472541,195.52237814463996,2.2755220886024494,4.0947171411986965,-0.8615098028196616,19.23395447264795,2.4181076835974666,6.981037823984925,-0.7793280737527346,18.216553815026444,2.4282953379957446
0.6473804966180056,-1.0738632205686827e-13,90.15968788999999,-0.7204814343405652,112.51734923941233,2.2867265336849076,159.55599332443035,-0.6915662587018847,208.17962622612248,2.2746992890741335,4.091639480870969,-0.8707176117992835,19.296590196824,2.4183935502366065,6.982174792806612,-0.7787470674666042,18.2882873260655,2.428127009131127
0.6473804996301158,-1.220967771331516e-13,95.60834018355405,-0.7200971248455077,119.25358402704666,2.2853650494127984,169.87760895402988,-0.6913462567994637,221.6570202534482,2.2739279399802763,4.094289078577633,-0.8795806868335525,19.3581033581415,2.416605667783374,6.983380901936069,-0.7782959441630357,18.358966459512224,2.4272384864807472
0.6473805033476786,-9.045195148438268e-14,101.38656971142345,-0.7197353115616196,126.39430593688984,2.284084166434262,180.8671063940143,-0.6911398089467893,236.00763535386534,2.273204750072729,4.090690300636948,-0.8707250966400165,19.418536135846413,2.417587733234487,6.984453541648332,-0.7802587986996822,18.428831772613,2.4274049871325554
0.6473805085657016,-7.942604907107409e-14,107.51429975468699,-0.7193946449477848,133.96377021522818,2.2828789386371673,192.56768592602114,-0.69094606900806,251.2880507722315,2.272526643963035,4.093044978431938,-0.8662320065974592,19.47793077853209,2.4165692908165823,6.9851145754121315,-0.7815202460128373,18.49757013931248,2.42625630090046
0.64738051452359,-9.291178937331779e-14,114.01265605096322,-0.7190738635901348,141.9876635582234,2.281744744807881,205.02534203592086,-0.6907642454780065,267.55844997816723,2.2718907524592895,4.095779899041439,-0.8778299876766571,19.536273255244406,2.416072911576608,6.985912477814409,-0.7796768944445007,18.565441192263215,2.423870907625572
0.6473805223875,-9.263076417020955e-14,120.90404451998302,-0.7187717821048127,150.49325831671038,2.2806772566811393,218.28902062618437,-0.6905935982237592,284.8828527167422,2.2712943981361624,4.092792560961501,-0.8647830077693293,19.593554971146197,2.41572333777657,6.986899118135248,-0.778898560787316,18.63252308430725,2.42541784638236
0.6473805321816892,-8.784986627041746e-14,128.2122518953126,-0.7184872877754609,159.50946223846742,2.2796724235442998,232.41092323756595,-0.6904334322797601,303.32963750593893,2.2707350719631716,4.091655315184137,-0.8586936290977754,19.64989832186851,2.413175619301345,6.987822677387788,-0.7775952529096737,18.698570340347793,2.4229564740288336
